game_seed,winner,total_rounds_played,avg_score_per_round,scoring_routes_count,avg_route_length,pct_routes_stopped_by_hop_limit,collision_count_per_round,interference_plays,ack_plays,broadcast_plays,broadcast_score_rate,ack_steal_rate,seed_utilization_rate,dead_rounds_count,turn_pct_extending_vs_starting,score_p0,score_p1,score_p2,score_p3
191664964,P1,1,200.0,1,2.0,0.0,2.0,0,1,1,0.0,0.0,0.0,0,0.25,0,200,0,0
1662057958,P2,1,300.0,1,2.0,0.0,1.0,1,1,0,0.0,0.0,0.0,0,0.2,0,0,300,0
1405681632,P0,2,100.0,1,2.0,0.0,2.0,2,2,0,0.0,0.0,0.0,1,0.222,200,0,0,0
942484272,P3,1,300.0,1,2.0,0.0,2.0,1,1,0,0.0,0.0,0.0,0,0.25,0,0,0,300
929893138,P3,4,150.0,2,2.5,0.0,1.75,1,2,1,1.0,0.0,0.0,3,0.35,0,0,0,600
1843824993,P2,1,700.0,1,2.0,0.0,2.0,0,1,0,0.0,0.0,0.0,0,0.4,0,0,700,0
184566854,P3,1,600.0,1,2.0,0.0,2.0,1,1,0,0.0,0.0,0.0,0,0.2,0,0,0,600
1497586439,P3,2,50.0,1,3.0,0.0,1.5,1,0,0,0.0,0.0,0.0,1,0.4,0,0,0,100
432652533,P1,1,600.0,1,2.0,0.0,2.0,0,0,1,0.0,0.0,0.0,0,0.25,0,600,0,0
202244314,P2,1,800.0,1,2.0,0.0,1.0,0,0,1,1.0,0.0,0.0,0,0.167,0,0,800,0
1130604998,P1,1,2000.0,4,2.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,0.5,0,1800,0,200
2095133046,P3,4,25.0,1,2.0,0.0,1.75,1,3,2,0.0,0.0,0.0,3,0.294,0,0,0,100
1580016184,P3,1,700.0,1,2.0,0.0,2.0,0,1,0,0.0,0.0,0.0,0,0.2,0,0,0,700
1634535063,P3,1,200.0,1,2.0,0.0,2.0,0,0,0,0.0,0.0,0.0,0,0.25,0,0,0,200
1540770720,P3,2,50.0,1,2.0,0.0,2.0,0,1,0,0.0,0.0,0.0,1,0.25,0,0,0,100
1688060241,P2,1,1400.0,3,2.33,0.0,0.0,0,1,1,1.0,0.0,0.0,0,0.571,0,0,1000,400
1102145673,P2,1,600.0,1,3.0,0.0,1.0,0,1,0,0.0,0.0,0.0,0,0.333,0,0,600,0
275121931,P3,1,700.0,1,2.0,0.0,1.0,0,1,0,0.0,0.0,0.0,0,0.2,0,0,0,700
1803345591,P0,1,600.0,1,2.0,0.0,2.0,0,1,1,0.0,0.0,0.0,0,0.4,600,0,0,0
967196436,P1,2,150.0,1,2.0,0.0,1.5,0,2,0,0.0,0.0,0.0,1,0.222,0,300,0,0
1074497556,P1,1,300.0,1,2.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0,0.25,0,300,0,0
796282693,P1,1,700.0,1,2.0,0.0,1.0,0,0,1,0.0,0.0,0.0,0,0.2,0,700,0,0
392022359,P3,4,125.0,2,2.0,0.0,1.75,2,3,1,0.0,0.0,0.0,3,0.267,0,100,0,400
1990212659,P1,1,200.0,1,2.0,0.0,1.0,1,1,0,0.0,0.0,0.0,0,0.25,0,200,0,0
1678403331,P2,1,600.0,1,2.0,0.0,1.0,1,1,0,0.0,0.0,0.0,0,0.2,0,0,600,0
1382689816,P1,1,300.0,2,2.0,0.0,1.0,0,1,1,0.0,0.0,0.0,0,0.4,0,200,0,100
864178267,P3,1,300.0,1,2.0,0.0,2.0,0,1,1,0.0,0.0,0.0,0,0.25,0,0,0,300
1766867110,P2,1,600.0,1,3.0,0.0,1.0,0,1,0,0.0,0.0,0.0,0,0.4,0,0,600,0
1171300113,P1,3,66.67,2,2.0,0.0,1.333,3,1,1,1.0,0.0,0.0,2,0.267,0,200,0,0
952224741,P3,1,1400.0,2,2.5,0.0,1.0,0,1,0,0.0,0.0,0.0,0,0.5,0,0,0,1400
967354525,P2,2,300.0,1,2.0,0.0,1.5,2,2,1,0.0,0.0,0.0,1,0.25,0,0,600,0
487991439,P1,4,50.0,1,2.0,0.0,2.25,1,1,1,0.0,0.0,0.0,3,0.133,0,200,0,0
197860369,P1,1,700.0,1,2.0,0.0,2.0,0,1,0,0.0,0.0,0.0,0,0.5,0,700,0,0
1190961761,P3,2,200.0,2,2.0,0.0,1.5,1,3,0,0.0,0.0,0.0,1,0.333,100,0,0,300
1906728919,P3,1,700.0,1,2.0,0.0,2.0,0,1,0,0.0,0.0,0.0,0,0.25,0,0,0,700
137046513,P1,1,700.0,1,2.0,0.0,1.0,0,1,0,0.0,0.0,0.0,0,0.167,0,700,0,0
1843166519,P3,1,200.0,2,2.5,0.0,1.0,0,1,0,0.0,0.0,0.0,0,0.5,0,0,0,200
1777324408,P3,3,466.67,2,2.5,0.0,2.0,2,1,1,0.0,0.0,0.0,2,0.333,0,0,0,1400
594336918,P1,1,1200.0,2,2.0,0.0,1.0,0,1,1,1.0,0.0,0.0,0,0.4,0,800,0,400
1356488968,P3,2,350.0,1,2.0,0.0,2.0,1,1,2,0.0,0.0,0.0,1,0.25,0,0,0,700
354826746,P3,2,200.0,1,2.0,0.0,2.0,2,0,0,0.0,0.0,0.0,1,0.25,0,0,0,400
1627981025,P3,1,700.0,2,2.0,0.0,1.0,1,1,0,0.0,0.0,0.0,0,0.4,0,300,0,400
1504361615,P1,3,66.67,1,2.0,0.0,1.667,1,2,0,0.0,0.0,0.0,2,0.083,0,200,0,0
761338719,P0,1,300.0,1,2.0,0.0,1.0,2,1,0,0.0,0.0,0.0,0,0.5,300,0,0,0
145857092,P3,1,200.0,1,2.0,0.0,1.0,0,1,1,1.0,0.0,0.0,0,0.6,0,0,0,200
2084558134,P3,1,700.0,2,2.0,0.0,1.0,0,0,1,1.0,0.0,0.0,0,0.333,0,200,0,500
957106590,P3,2,250.0,1,2.0,0.0,2.0,0,1,2,0.0,0.0,0.0,1,0.25,0,0,0,500
1917963003,P1,3,66.67,1,2.0,0.0,2.0,1,0,2,0.5,0.0,0.0,2,0.25,0,200,0,0
